date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
1-Jan-42,9.7,6.8,4.7,0,1020.3,17.2,1.1,1.4
2-Jan-42,9.9,7.9,6.7,0.1,1016.2,15.2,0.7,0.9
3-Jan-42,11.2,8.9,7.2,1.5,1006.8,14,0.5,0.6
4-Jan-42,9.2,2.7,3.4,3.5,1001.5,17,0.6,0.7
5-Jan-42,3.5,-0.8,0,0.6,1013.4,13,0.6,0.7
6-Jan-42,5.1,0.7,-3.7,0,1021.1,9.7,0.4,0.5
7-Jan-42,7.1,0.5,-1,0,1021.7,10.3,0.2,0.2
8-Jan-42,7.1,1.4,0.2,0,1016.8,9.3,0.2,0.2
9-Jan-42,4.5,0.7,0.9,0.2,1012,11.8,0.5,0.7
10-Jan-42,5.3,-2.8,-4.1,0,1015.9,4,0,0.1
11-Jan-42,4,-2.6,-9.5,1.1,1014.6,2.8,0.2,0.3
12-Jan-42,5.1,0.1,-1.1,2.5,999.5,8.6,0.3,0.5
13-Jan-42,4.8,-1.4,-2,0.2,987,7.5,0,0
14-Jan-42,4.7,-3.1,-8,0.1,996.9,3.8,0.1,0.2
15-Jan-42,4.5,0.2,-7.8,2.1,997.2,26.3,0.4,0.7
16-Jan-42,4.4,3,2.2,9.6,996.9,18,0.4,0.6
17-Jan-42,8.5,0.8,1.7,4.5,1006.8,7.1,0,0.1
18-Jan-42,7.8,1.4,1.2,0,1007.5,8.4,0.1,0.2
19-Jan-42,7.9,3.9,-4.3,23.1,1004.1,17,0.4,0.6
20-Jan-42,7.4,-0.7,-1.7,0.1,1005.3,7.3,0.3,0.4
21-Jan-42,6.5,5.1,2.2,1,1006.2,19.9,0.3,0.6
22-Jan-42,7.7,3.4,2.8,7.6,1007.5,8.3,0.5,0.6
23-Jan-42,11.9,7.2,3,5.8,998,19.6,0.5,0.8
24-Jan-42,10.4,3.4,1.8,2.9,990.1,19.1,0.9,1.2
25-Jan-42,5.9,1.8,0.6,1.1,989.5,24.3,0.9,1.3
26-Jan-42,6.1,-0.1,-1.2,0,1000.8,10.9,0.4,0.5
27-Jan-42,9.1,2.1,-0.8,3.9,996.8,20.4,0.4,0.6
28-Jan-42,6,1.4,0.1,3.4,990.2,19.7,0.7,0.9
29-Jan-42,5.6,-0.6,0.3,0.6,996.3,11.4,0.2,0.3
30-Jan-42,6.6,1.1,-6.3,11,996.7,16.9,0.4,0.6
31-Jan-42,6,-0.2,-2.7,5.4,1004.4,8.2,0.4,0.5
1-Feb-42,9.9,6,2.9,1.6,1005,19.5,0.4,0.6
2-Feb-42,9.6,5.6,6,2.5,1007,10.6,0.3,0.5
3-Feb-42,11.6,7.1,5.8,0.4,1003.4,17,0.8,1.1
4-Feb-42,7.5,2.3,3.2,1.1,1011,11.2,0.7,1
5-Feb-42,3.6,-0.2,-1.5,0.1,1020,10.9,0.9,1.2
6-Feb-42,4.4,-0.6,-2.4,1.3,1015.9,8.4,0.3,0.4
7-Feb-42,5.2,1.4,2.4,0.1,1016.5,7.2,0.5,0.6
8-Feb-42,3.2,-3.2,-7.8,0,1020,7.5,0.3,0.4
9-Feb-42,7.5,3.2,2,0,1015.8,6.9,0.5,0.6
10-Feb-42,9.3,-1.4,3.4,0.5,1009.3,13.3,0.8,1.1
11-Feb-42,3.1,-4.2,-5.7,0,1010.3,9.8,0.5,0.7
12-Feb-42,9,3.1,0.3,0.5,1005.1,18.2,1,1.4
13-Feb-42,5.7,-1.1,-0.7,0,1012.7,11,0.5,0.7
14-Feb-42,5.9,-0.1,-4.9,0,1022.6,1.9,0.5,0.8
15-Feb-42,7.1,-2.2,-8.9,0,1025.5,6.3,0.6,0.8
16-Feb-42,5.7,-1.1,0.4,0,1029.4,9.3,0.5,0.8
17-Feb-42,3.9,-1.7,-8.3,0,1031.1,7.5,0.5,0.8
18-Feb-42,3.6,1.1,1.3,0,1028.3,10.2,0.7,1
19-Feb-42,3.7,-0.5,0,0,1025.6,6.6,0.6,0.8
20-Feb-42,4.6,-2.1,-7.8,0,1018,5.2,0.5,0.8
21-Feb-42,2.9,-0.8,-8.9,0,1008.5,9.8,0.8,1.1
22-Feb-42,0,-2.3,-1.7,2,1002.3,10.6,0.5,0.8
23-Feb-42,2.4,-2.4,-3.3,0.7,999.8,8.7,0.7,1.1
